Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Ni Hao - Radisson Blu Hotel,"Asian, Chinese, Thai, Desserts",4.4,"₹3,600 for two",5.5,"Radisson Blu Hotel, Vijay Nagar, Indore","Perfect Place, Young Crowd, Inviting Decor"
Alba Bistro,"North Indian, Cafe, Salad, Fast Food, Coffee, Pizza, Desserts, Shake",4.5,"₹1,200 for two",4.2,"Vijay Nagar, Indore","Live Sports Screening, Hospitable Staff, Good Music"
Blue Salt & Coffee - Hotel Essentia,"North Indian, South Indian, Continental, Chinese, Fast Food, Street Food, Desserts, Beverages",3.8,"₹2,500 for two",4.9,"Khajrana, Indore","Consistent Quality, Inviting Decor, Staff"
Terazza,"Cafe, North Indian, Italian, Fast Food, Beverages",3.9,₹900 for two,4.2,"Vijay Nagar, Indore","Extensive Mocktail Menu, Weekend Brunch, Peaceful Ambience"
Bhopal Bake House And Cafe,"Bakery, Desserts, Continental, Fast Food, Street Food, Beverages",4.8,₹600 for two,3.9,"Old Palasia, Indore","Sophisticated, Ambiance, Peaceful Ambience"
Sanchi - Pan Indian | Fine Dine,"North Indian, Mughlai, Chinese, Biryani, Desserts",3.8,"₹1,500 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Breakfast, Good Music, Live Sports Screening"
Farzi Café,"North Indian, Continental, Pizza, Bar Food, Biryani, Beverages, Desserts",4.3,"₹2,400 for two",4.9,"Vijay Nagar, Indore","Comfortable Seating, Extensive Mocktail Menu, Hospitality"
Mamagoto,Asian,4.5,"₹1,000 for two",8.5,"By Pass Road (North), Indore","Innovative Dishes, Sustainable Practices, Variety of Beer"
Pind Balluchi,"North Indian, Mughlai, Biryani, Kebab, Bar Food, Desserts, Beverages",4.0,"₹1,000 for two",5.1,"Vijay Nagar, Indore","Creative Cuisine, Live Sports Screening, Well-priced Options"
Hobnob Gourmet Cafébar,"Continental, Italian, North Indian, Bar Food, Salad, Beverages",4.4,"₹2,600 for two",5.7,"Infiniti Hotel, Vijay Nagar, Indore","Attentive Service, Ambience, Staff"
Ring Road Social,"North Indian, Chinese, Biryani, Pizza, Burger, Fast Food, Desserts, Beverages",4.5,"₹1,500 for two",5.6,"Vijay Nagar, Indore","Good Bartenders, Ambiance, Customizable Dishes"
The State - Lounge Bar,"North Indian, Continental, Kebab, Chinese, Sandwich, Fast Food, Biryani, Desserts",4.2,"₹1,800 for two",5.3,"Vijay Nagar, Indore","Delicious Food, Good Bartenders, Ambiance"
Ozone Wine & Dine,"North Indian, Continental, Mughlai, Kebab, Biryani, Fast Food, Desserts",3.8,"₹1,200 for two",4.9,"Khajrana, Indore","Clean Environment, Staff, Good Bartenders"
Split Bean,"North Indian, Chinese, Pizza, Pasta, Fast Food, Ice Cream, Desserts, Shake",3.5,"₹1,000 for two",5.6,"MR 10 Road, Indore","Quantity, Variety of Beer, Brewed Beer"
WOW! Momo,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts",4.1,₹350 for two,3.1,"Sapna Sangeeta, Indore","Extensive Mocktail Menu, Authentic Flavors, Hospitality"
Coriander Leaf - Pure Veg Restaurant,"Kathiyawadi, Gujarati, North Indian, Desserts",4.1,₹800 for two,2.9,"Geeta Bhavan, Indore","Memorable Experience, Well-priced Options, Clean Environment"
Kava - Fairfield By Marriott,"Continental, North Indian, Mughlai, Chinese, Thai, Biryani, Desserts, Beverages",4.0,"₹2,000 for two",5.4,"Fairfield By Marriott, Indore","Young Crowd, Good Music, Extensive Mocktail Menu"
One Asia - Indore Marriott Hotel,"Chinese, Asian, Sichuan",4.5,"₹2,000 for two",4.2,"Indore Marriott Hotel, Vijay Nagar, Indore","Well-priced Options, Friendly Staff, Comfortable Seating"
Adam's Ale,"North Indian, Continental, Chinese, Italian",3.2,"₹1,400 for two",7.5,"By Pass Road (North), Indore","Live Sports Screening, Perfect Place, Young Crowd"
Eden Unplugged,"North Indian, Italian",4.4,"₹1,900 for two",6.8,"Vijay Nagar, Indore","Great for Dates, Trendy Setting, Young Crowd"
Project Charcoal,"North Indian, Chinese, Biryani, Mughlai, Desserts",3.3,₹500 for two,6.1,"By Pass Road (South), Indore","Clean Environment, Trendy Setting, Main Course"
Taco Bell,"Mexican, Fast Food",3.6,₹500 for two,8.5,"By Pass Road (North), Indore","Innovative Dishes, Variety of Beer, Warm Atmosphere"
Crazy Coffee,"Cafe, Coffee, Pizza, Sandwich, Wraps, Desserts, Tea, Shake",4.0,₹350 for two,4.6,"Vijay Nagar, Indore","Perfect Place, Innovative Dishes, Courteous Staff"
Little Monk,North Indian,4.0,"₹1,000 for two",6.2,"MR 10 Road, Indore","Consistent Quality, Sophisticated, Satisfying Portions"
Cafe Palette,"Cafe, Coffee, Fast Food, Healthy Food, Mexican, Italian, Beverages",4.0,₹800 for two,4.2,"Old Palasia, Indore","Inviting Decor, Efficient Service, Delicious Food"
S Cafe - Sheraton Grand Palace,"North Indian, South Indian, Continental, Italian, Asian, Desserts, Shake, Beverages",4.2,"₹2,300 for two",9.9,"Sheraton Grand Palace, Indore","Consistent Quality, Variety of Beer, Extensive Mocktail Menu"
Skyhouse,"North Indian, Chinese, Asian, Continental, Italian, Seafood, Salad, Desserts",4.2,"₹2,000 for two",5.0,"Mangal City Mall, Vijay Nagar, Indore","Exquisite Taste, Variety of Beer, Impeccable Presentation"
House Of Butler,"Chinese, Sushi, Pizza, Fast Food, Salad, North Indian, Mughlai, Pasta",3.6,"₹1,200 for two",7.4,"By Pass Road (South), Indore","Breakfast, Creative Cuisine, Young Crowd"
WOW! China,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos",3.9,₹600 for two,4.8,"Vijay Nagar, Indore","Brewed Beer, Young Crowd, Good Music"
Love Over Coffee,"Cafe, Coffee, Italian, Desserts, Beverages",3.9,₹500 for two,4.8,"Vijay Nagar, Indore","Good Bartenders, Good Music, Ambiance"
Hoku,Continental,3.9,"₹2,500 for two",8.0,"By Pass Road (North), Indore","Memorable Experience, Good Music, Brewed Beer"
The G.T. Road,"North Indian, Desserts",3.9,"₹2,000 for two",8.4,"By Pass Road (North), Indore","Peaceful Ambience, Variety of Beer, Memorable Experience"
Little Italy,"Italian, Pizza, Pasta",4.4,"₹1,400 for two",4.9,"Vijay Nagar, Indore","Peaceful Ambience, Hospitable Staff, Impeccable Presentation"
Agent Jack's Bar,"Bar Food, Pizza, Kebab, North Indian, Mughlai, Beverages",4.1,"₹1,000 for two",5.2,"Vijay Nagar, Indore","Flavorful Creations, Good Bartenders, Friendly Staff"
Thyme And Whisk,North Indian,New,"₹1,400 for two",5.8,"Vijay Nagar, Indore","Efficient Service, Innovative Dishes, Weekend Brunch"
Kake Di Hatti,"North Indian, Beverages",4.2,₹500 for two,2.7,"New Palasia, Indore","Comfortable Seating, Young Crowd, Breakfast"
Golden Aura Hotel,"North Indian, Chinese, Salad, Kebab, Desserts, Beverages",New,"₹1,000 for two",8.0,"Vijay Nagar, Indore","Authentic Flavors, Weekend Brunch, Delicious Food"
Hill's View - Papaya Tree Hotel,"North Indian, Italian, Continental, Chinese, Oriental, Bar Food, Desserts, Beverages",4.4,"₹1,600 for two",12.1,"Papaya Tree Hotel, Indore","Flavorful Creations, Fresh Ingredients, Seasonal Menu"
Banger,"Continental, Asian, Bar Food, Beverages",3.9,"₹2,500 for two",5.8,"Vijay Nagar, Indore","Warm Atmosphere, Delicious Food, Sophisticated"
Go Bananas - Sayaji Hotel,"Italian, Mexican",4.1,"₹1,400 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Great Service, Flavorful Creations, Young Crowd"
Zoku - Your Asian Fix,North Indian,New,₹200 for two,6.6,"By Pass Road (North), Indore","Comfortable Seating, Exquisite Taste, Sophisticated"
Echidna Restobrew,"Mediterranean, Asian, Italian, North Indian, Mughlai, Biryani, Desserts, Beverages",3.0,"₹1,400 for two",7.1,"By Pass Road (North), Indore","Customizable Dishes, Variety of Beer, Comfortable Seating"
Angaraa,"North Indian, Chinese, Fast Food, Salad, Desserts, Beverages",3.1,₹800 for two,3.8,"Old Palasia, Indore","Comfortable Seating, Brewed Beer, Hospitable Staff"
Mr. Beans,"Cafe, Coffee, Tea, Shake, Italian, Continental, Salad, Desserts",4.0,₹800 for two,4.1,"Old Palasia, Indore","Quantity, Brewed Beer, Warm Atmosphere"
Dhaba Junction,"North Indian, Mughlai, Kebab, Biryani",4.2,"₹1,000 for two",5.6,"Rajendra Nagar, Indore","Good Music, Vintage Decor, Clean Environment"
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,₹600 for two,4.8,"Vijay Nagar, Indore","Trendy Setting, Inviting Decor, Clean Environment"
Striker Pub & Kitchen,"Mexican, Italian, Asian, Sushi, North Indian, Bar Food, Desserts, Beverages",4.8,"₹2,200 for two",6.1,"Vijay Nagar, Indore","Inviting Decor, Attentive Service, Staff"
Drinx Exchange,"Bar Food, North Indian, Chinese, Thai, Continental, Italian, Desserts, Beverages",4.3,"₹2,500 for two",4.2,"Vijay Nagar, Indore","Hospitable Staff, Warm Atmosphere, Customizable Dishes"
Bella Buono,"Continental, Mexican, Chinese, North Indian, Fast Food",3.8,"₹1,500 for two",5.4,"Vijay Nagar, Indore","Weekend Brunch, Memorable Experience, Cafe"
The Highgarden Cafe,"Fast Food, Chinese, Sandwich, Street Food, Pizza, Healthy Food, Juices, Beverages",3.8,"₹1,200 for two",3.5,"Old Palasia, Indore","Comfortable Seating, Sophisticated, Cozy Ambiance"
Ethyl Bar - Radisson Blu Hotel,"Bar Food, Continental, Beverages",4.4,"₹3,200 for two",5.5,"Radisson Blu Hotel, Vijay Nagar, Indore","Fresh Ingredients, Exquisite Taste, Weekend Brunch"
The Ground Baking Co.,"Cafe, Pizza, Waffle, Beverages",4.3,"₹1,200 for two",4.8,"Vijay Nagar, Indore","Ambience, Innovative Dishes, Flavorful Creations"
Diet Dial,"Healthy Food, Salad, North Indian, South Indian, Fast Food",3.9,₹350 for two,3.2,"HIG-LIG, Indore","Young Crowd, Live Sports Screening, Perfect Place"
Pizza Don,"Pizza, Pasta, Italian, Continental, Burger, Panini, Desserts, Beverages",4.5,"₹1,200 for two",4.8,"Vijay Nagar, Indore","Brewed Beer, Peaceful Ambience, Weekend Brunch"
Moti Mahal Delux,"North Indian, Mughlai, Chinese, Kebab, Biryani, Oriental, Desserts, Beverages",4.4,"₹1,300 for two",7.4,"By Pass Road (South), Indore","Exquisite Taste, Quantity, Variety of Beer"
Hopin - Patio Cafe,"Cafe, Coffee, Beverages, Italian, Fast Food, Asian, North Indian, Desserts",3.3,"₹1,200 for two",2.9,"New Palasia, Indore","Perfect Place, Creative Cuisine, Clean Environment"
Guru Kripa,"North Indian, Chinese, Pasta, Salad, Fast Food, Desserts, Beverages",3.3,"₹1,000 for two",7.5,"By Pass Road (South), Indore","Perfect Place, Ambience, Peaceful Ambience"
Patang - Hotel Daksh Residency,"North Indian, Kebab, Chinese, Salad, Continental, Sandwich, Desserts, Beverages",4.3,"₹1,000 for two",4.5,"Vijay Nagar, Indore","Cozy Ambiance, Quantity, Live Sports Screening"
WOW! Chicken by WOW! Momo,"American, Fast Food, Burger, Beverages",4.2,₹500 for two,8.5,"By Pass Road (North), Indore","Variety of Beer, Seasonal Menu, Creative Cuisine"
Plated - Bar & Kitchen,"North Indian, Mughlai, Chinese, Biryani, Seafood",3.9,"₹1,500 for two",8.4,"By Pass Road (North), Indore","Innovative Dishes, Live Sports Screening, Fresh Ingredients"
Bapu Ki Kutia,"North Indian, Chinese, Desserts",4.0,₹800 for two,3.0,"Sapna Sangeeta, Indore","Local Sourcing, Main Course, Clean Environment"
Meraki - The Creative Cuisine,"North Indian, Kebab, Chinese, Pizza, Italian, Salad, Beverages",4.4,"₹1,000 for two",5.3,"Vijay Nagar, Indore","Flavorful Creations, Vintage Decor, Trendy Setting"
Araana - Sheraton Grand Palace,"North Indian, Desserts",3.9,"₹3,500 for two",9.7,"Sheraton Grand Palace, Indore","Sustainable Practices, Exquisite Taste, Breakfast"
Shreemaya Celebration,"North Indian, South Indian, Chinese, Continental, Fast Food, Beverages, Burger",4.6,₹850 for two,2.2,"Hotel Shreemaya, RNT Marg, Indore","Ambiance, Warm Atmosphere, Good Bartenders"
The Eighteen Fine Dine Lounge,"North Indian, Mughlai, Continental, Chinese, Italian, Sushi, Desserts, Beverages",4.4,"₹2,000 for two",4.4,"Vijay Nagar, Indore","Delicious Food, Innovative Dishes, Consistent Quality"
Cafe De Casa,"Cafe, Shake, Chinese, Italian, Mexican, North Indian, Desserts, Beverages",4.1,"₹1,100 for two",5.1,"Vijay Nagar, Indore","Cozy Ambiance, Friendly Staff, Main Course"
Spruzzo The Gourmet Cafe,"Cafe, Coffee, Beverages, North Indian, Chinese, Pizza, Continental, Desserts",2.5,"₹1,000 for two",2.8,"New Palasia, Indore","Hospitable Staff, Ambience, Variety of Beer"
KFC,"Fast Food, Burger, Biryani, Beverages",4.0,₹450 for two,4.4,"Malhar Mega Mall, Vijay Nagar, Indore","Local Sourcing, Trendy Setting, Inviting Decor"
Kitchen Ministry,North Indian,3.8,"₹1,000 for two",2.1,"RNT Marg, Indore","Authentic Flavors, Flavorful Creations, Great for Dates"
Fagun Restaurant,"North Indian, Chinese, Continental, Fast Food, Salad, Biryani",4.2,"₹1,200 for two",8.8,"Vijay Nagar, Indore","Brewed Beer, Great for Dates, Sophisticated"
Solitaire Restaurant,"North Indian, Mughlai, Biryani, Chinese, Salad, Beverages",4.2,"₹1,000 for two",4.4,"Vijay Nagar, Indore","Inviting Decor, Extensive Mocktail Menu, Fresh Ingredients"
Indore Baking Company - Indore Marriott Hotel,"Fast Food, Bakery, Desserts, Beverages, Shake",4.6,"₹2,500 for two",4.2,"Indore Marriott Hotel, Vijay Nagar, Indore","Good Bartenders, Efficient Service, Exquisite Taste"
London Bubble Co.,"Waffle, Ice Cream, Shake",3.9,₹300 for two,4.7,"Vijay Nagar, Indore","Clean Environment, Seasonal Menu, Brewed Beer"
Firangi Cafe,"Continental, Pizza, Beverages, Sandwich",4.3,"₹1,000 for two",4.9,"Vijay Nagar, Indore","Clean Environment, Sophisticated, Vintage Decor"
Mocha,"Cafe, Continental, Italian, North Indian, Fast Food, Pizza, Desserts, Beverages",3.9,"₹1,200 for two",2.0,"YN Road, Indore","Quantity, Young Crowd, Memorable Experience"
Constellation - Hotel WOW CREST IHCL SELEQTIONS,"North Indian, Asian, Continental, Desserts, Beverages",4.1,"₹3,500 for two",4.6,"Hotel Wow, Vijay Nagar, Indore","Variety of Beer, Exquisite Taste, Great Service"
Mini Punjabi,"North Indian, Chinese",3.8,₹300 for two,2.2,"Manik Bagh Road, Indore","Extensive Mocktail Menu, Innovative Dishes, Cafe"
Mitti - Organic Fresh Desi,"Cafe, Coffee, Beverages, North Indian, Continental, Chinese, Healthy Food, Desserts",4.1,"₹1,000 for two",3.4,"Old Palasia, Indore","Cozy Ambiance, Courteous Staff, Diverse Menu"
Atha,"North Indian, Chinese, Sichuan, Salad, Desserts, Beverages",New,"₹1,000 for two",10.7,"Rau, Indore","Delicious Food, Cafe, Attentive Service"
Mediterra - Sayaji Hotel,"North Indian, Mughlai, Chinese, Continental, Italian, Salad, Biryani",4.7,"₹1,800 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Brewed Beer, Breakfast, Flavorful Creations"
Alba Bistro,"North Indian, Continental",3.4,₹800 for two,8.9,"By Pass Road (North), Indore","Ambiance, Weekend Brunch, Staff"
99 Kitchen & Co.,"Italian, Japanese, Continental, Fast Food, Desserts, Beverages",3.4,"₹1,000 for two",5.4,"Vijay Nagar, Indore","Customizable Dishes, Great for Dates, Efficient Service"
Mate Connect Coffee,"Cafe, Coffee, Beverages, Fast Food",3.9,₹400 for two,4.3,"Vijay Nagar, Indore","Live Sports Screening, Perfect Place, Quantity"
Funeats,"North Indian, Salad, Continental, Pizza, Italian, Asian, Desserts, Beverages",3.4,"₹1,000 for two",2.2,"Treasure Island Mall, South Tukoganj, Indore","Well-priced Options, Peaceful Ambience, Great for Dates"
Cocktails & Dreams,"North Indian, Chinese, Continental, Italian, Oriental, Sushi, Biryani, Desserts",4.2,"₹3,000 for two",6.1,"Vijay Nagar, Indore","Satisfying Portions, Weekend Brunch, Consistent Quality"
Godwit,"Fast Food, Italian, South Indian, Chinese, North Indian, Desserts, Beverages",4.0,₹500 for two,6.9,"By Pass Road (North), Indore","Memorable Experience, Courteous Staff, Satisfying Portions"
Banana Leaf,"South Indian, North Indian, Biryani, Desserts, Beverages",4.3,₹800 for two,4.4,"Malhar Mega Mall, Vijay Nagar, Indore","Main Course, Seasonal Menu, Delicious Food"
The Monroe,"North Indian, Chinese, Fast Food, Desserts, Beverages, Italian",4.2,"₹1,000 for two",2.8,"New Palasia, Indore","Staff, Comfortable Seating, Brewed Beer"
Tyger Tyger,Asian,New,"₹1,000 for two",5.7,"Vijay Nagar, Indore","Ambience, Hospitality, Courteous Staff"
Simi's,Bakery,4.5,₹500 for two,4.9,"Vijay Nagar, Indore","Vintage Decor, Brewed Beer, Authentic Flavors"
The Beer Cafe,"Bar Food, Italian, North Indian, Mexican, Finger Food, Fast Food",4.3,"₹1,500 for two",5.4,"Vijay Nagar, Indore","Cafe, Main Course, Inviting Decor"
Angrezi Desi,North Indian,3.9,"₹1,000 for two",8.0,"New Palasia, Indore","Inviting Decor, Local Sourcing, Breakfast"
Pizza Hut,"Pizza, Fast Food, Italian",3.7,₹600 for two,4.4,"Malhar Mega Mall, Vijay Nagar, Indore","Fresh Ingredients, Comfortable Seating, Flavorful Creations"
The Grill,"North Indian, Chinese",3.9,"₹1,000 for two",7.4,"Vijay Nagar, Indore","Satisfying Portions, Quantity, Hospitable Staff"
Basil - Ramada Encore By Wyndham,"North Indian, Fast Food",-,"₹1,000 for two",8.3,"Vijay Nagar, Indore","Variety of Beer, Memorable Experience, Trendy Setting"
Jardin Hotel,"North Indian, Mughlai, Chinese, Seafood, Desserts",-,"₹1,000 for two",7.4,"Vijay Nagar, Indore","Cafe, Diverse Menu, Hospitality"
Rail Coach Restaurant,"North Indian, Mughlai, Chinese, Oriental, Biryani, Fast Food, Street Food, Beverages",3.3,"₹1,300 for two",3.3,"Ranjeet Hanuman, Indore","Breakfast, Consistent Quality, Comfortable Seating"
Bollywood Theka,"North Indian, Chinese, Fast Food, Biryani, Bar Food, Desserts, Beverages",4.4,"₹1,100 for two",5.8,"Infiniti Hotel, Vijay Nagar, Indore","Comfortable Seating, Flavorful Creations, Memorable Experience"
Yoi Toki,"Asian, Chinese, Pizza, Sushi, Desserts",3.3,"₹1,000 for two",2.3,"South Tukoganj, Indore","Flavorful Creations, Extensive Mocktail Menu, Friendly Staff"
Chang's Legacy,"Chinese, North Indian, Seafood, Sichuan, Asian",4.6,"₹1,000 for two",4.6,"Vijay Nagar, Indore","Live Sports Screening, Customizable Dishes, Weekend Brunch"
Diners Park,"North Indian, Chinese, Salad, Fast Food, Desserts, Beverages",4.0,"₹1,000 for two",9.9,"Vijay Nagar, Indore","Ambiance, Sustainable Practices, Local Sourcing"
Sheesha Sky Lounge,"North Indian, Mughlai, Arabian, Chinese, Seafood, Kebab, Biryani, Desserts",4.2,"₹1,500 for two",5.1,"Vijay Nagar, Indore","Customizable Dishes, Trendy Setting, Young Crowd"
Hotel Shreemaya,"North Indian, Mughlai, Chinese, Continental, Desserts, Beverages",4.5,"₹1,200 for two",2.2,"Hotel Shreemaya, RNT Marg, Indore","Cozy Ambiance, Inviting Decor, Delicious Food"
Good Old Days - Hotel Effotel,"North Indian, Asian",4.9,"₹1,500 for two",5.5,"Hotel Effotel, Vijay Nagar, Indore","Local Sourcing, Flavorful Creations, Friendly Staff"
Chai Kaapi,"Fast Food, North Indian, Street Food",3.0,₹400 for two,8.0,"By Pass Road (North), Indore","Main Course, Peaceful Ambience, Impeccable Presentation"
Cafe Chapter One,"Cafe, Coffee, Italian, Fast Food, Pizza, Continental, Desserts, Beverages",4.3,₹750 for two,6.1,"Vijay Nagar, Indore","Trendy Setting, Efficient Service, Exquisite Taste"
Taaza Restaurant,"North Indian, Fast Food, Burger, Middle Eastern, Arabian, Shawarma, Salad, Grilled Chicken",3.8,₹550 for two,6.2,"Vijay Nagar, Indore","Warm Atmosphere, Memorable Experience, Great for Dates"
Biggies Burger,"Burger, Wraps, Fast Food, Beverages",3.0,₹500 for two,8.5,"By Pass Road (North), Indore","Satisfying Portions, Ambience, Hospitality"
VegTawa Restaurant,"North Indian, Chinese, Kebab, Salad, Ice Cream, Desserts",4.2,₹700 for two,4.8,"Sudama Nagar, Indore","Perfect Place, Fresh Ingredients, Great Service"
GFC - Restaurant,"North Indian, Mughlai, Chinese, Kebab, Biryani, Desserts",4.0,"₹1,200 for two",7.1,"By Pass Road (North), Indore","Young Crowd, Well-priced Options, Great Service"
